Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,61.6,61.475,61.35,61.225,61.1,61.06,61.02,60.98,60.94,60.9,61.22,61.54,61.86,62.18,62.5,62.38,62.26,62.14,62.019999999999996,61.9,62.3,62.8,63.2,63.7,64.2,64.5,64.9
Albania,54.9,54.25,53.599999999999994,52.949999999999996,52.3,52.16,52.019999999999996,51.88,51.74,51.6,50.9,50.2,49.5,48.800000000000004,48.1,47.800000000000004,47.5,47.2,46.9,46.6,48.2,49.8,45.1,44.9,46.8,47.7,48.5
Algeria,35.3,34.15,33.0,31.849999999999998,30.7,30.68,30.66,30.64,30.62,30.6,31.68,32.76,33.84,34.92,36.0,36.42,36.84,37.26,37.68,38.1,38.3,38.0,39.4,37.3,36.8,37.2,36.4
Angola,60.4,60.625,60.849999999999994,61.074999999999996,61.3,61.019999999999996,60.739999999999995,60.46,60.18,59.9,60.28,60.66,61.04,61.419999999999995,61.8,63.58,65.36,67.14,68.92,70.7,72.1,72.2,72.1,72.1,72.2,72.1,72.2
Argentina,56.5,54.775,53.05,51.325,49.6,50.28,50.96,51.64,52.32,53.0,53.38,53.76,54.14,54.519999999999996,54.9,55.1,55.3,55.5,55.699999999999996,55.9,56.5,56.3,56.1,55.5,55.6,55.6,55.6
Armenia,58.2,57.2,56.2,55.2,54.2,53.38,52.56,51.74,50.92,50.1,50.04,49.98,49.92,49.86,49.8,49.48,49.16,48.84,48.52,48.2,49.4,49.9,50.9,49.9,48.9,48.3,48.2
Australia,57.2,57.475,57.75,58.025,58.3,58.519999999999996,58.739999999999995,58.96,59.18,59.4,59.78,60.16,60.54,60.919999999999995,61.3,61.46,61.62,61.78,61.94,62.1,62.2,61.8,61.3,60.8,61.1,61.2,61.5
Austria,54.3,54.849999999999994,55.4,55.95,56.5,56.36,56.22,56.08,55.94,55.8,55.599999999999994,55.4,55.199999999999996,55.0,54.8,55.26,55.72,56.18,56.64,57.1,57.3,57.4,57.2,56.8,56.7,56.8,57.0
Azerbaijan,60.0,59.8,59.6,59.400000000000006,59.2,58.5,57.800000000000004,57.1,56.400000000000006,55.7,56.2,56.7,57.2,57.7,58.2,58.6,59.0,59.400000000000006,59.800000000000004,60.2,60.5,60.9,61.3,61.9,62.3,62.9,63.2
Bahamas,64.0,64.75,65.5,66.25,67.0,67.5,68.0,68.5,69.0,69.5,69.08,68.66,68.24000000000001,67.82000000000001,67.4,66.76,66.12,65.48,64.84,64.2,64.1,64.4,62.8,64.5,65.7,65.1,65.3
Bahrain,63.9,64.125,64.35,64.575,64.8,64.86,64.92,64.97999999999999,65.03999999999999,65.1,65.66,66.22,66.78,67.34,67.9,68.60000000000001,69.30000000000001,70.0,70.7,71.4,70.6,70.6,70.7,70.8,70.9,71.2,71.7
Bangladesh,55.4,55.425,55.45,55.475,55.5,55.46,55.42,55.379999999999995,55.339999999999996,55.3,55.18,55.06,54.94,54.82,54.7,54.72,54.74,54.76,54.78,54.8,54.5,54.3,54.1,54.0,54.0,54.0,56.1
Barbados,52.4,53.425,54.45,55.475,56.5,57.68,58.86,60.04,61.22,62.4,62.56,62.72,62.88,63.04,63.2,62.7,62.2,61.7,61.2,60.7,60.3,59.0,59.6,57.3,58.2,59.9,59.7
Belarus,59.2,56.575,53.95,51.325,48.7,49.36,50.02,50.68,51.34,52.0,52.74,53.480000000000004,54.22,54.96,55.7,56.400000000000006,57.1,57.800000000000004,58.5,59.2,59.5,59.8,60.1,60.4,60.5,60.5,60.4
Belgium,45.7,45.7,45.7,45.7,45.7,46.32,46.94,47.56,48.18,48.8,48.78,48.76,48.74,48.72,48.7,48.86,49.02,49.18,49.34,49.5,49.3,49.1,49.0,49.0,48.9,49.1,49.6
Belize,53.8,53.199999999999996,52.599999999999994,52.0,51.4,52.04,52.68,53.32,53.96,54.6,55.08,55.56,56.04,56.52,57.0,57.48,57.96,58.44,58.92,59.4,59.3,58.9,60.0,59.4,59.8,61.5,60.9
Benin,71.4,71.5,71.6,71.7,71.8,71.75999999999999,71.72,71.67999999999999,71.64,71.6,71.53999999999999,71.47999999999999,71.42,71.36,71.3,71.1,70.89999999999999,70.7,70.5,70.3,69.0,69.0,69.0,69.2,69.3,69.4,69.6
Bhutan,66.0,65.625,65.25,64.875,64.5,64.6,64.7,64.8,64.9,65.0,65.62,66.24,66.86,67.47999999999999,68.1,67.97999999999999,67.86,67.74,67.62,67.5,65.8,64.2,64.2,62.7,65.0,65.2,65.4
Bolivia (Plurinational State of),66.8,66.95,67.1,67.25,67.4,67.52000000000001,67.64,67.76,67.88,68.0,68.42,68.84,69.25999999999999,69.67999999999999,70.1,70.1,70.1,70.1,70.1,70.1,70.2,67.5,67.7,69.9,65.0,68.5,65.7
Bosnia and Herzegovina,42.8,42.025,41.25,40.475,39.7,39.06,38.42,37.78,37.14,36.5,36.0,35.5,35.0,34.5,34.0,34.2,34.4,34.6,34.8,35.0,34.7,34.3,34.3,34.0,33.8,34.9,37.3
Botswana,52.4,51.275,50.15,49.025,47.9,48.24,48.58,48.92,49.26,49.6,49.74,49.88,50.019999999999996,50.16,50.3,50.14,49.98,49.82,49.66,49.5,53.1,56.0,58.2,58.4,58.8,58.9,59.3
Brazil,58.6,58.9,59.2,59.5,59.8,59.4,59.0,58.599999999999994,58.199999999999996,57.8,58.26,58.72,59.18,59.64,60.1,60.04,59.98,59.92,59.86,59.8,59.2,59.7,59.7,59.7,58.7,56.4,55.9
Brunei Darussalam,62.1,62.275,62.45,62.625,62.8,63.08,63.36,63.64,63.92,64.2,64.0,63.800000000000004,63.6,63.400000000000006,63.2,62.96,62.72,62.480000000000004,62.24,62.0,61.9,61.7,61.5,61.4,60.7,60.0,59.3
Bulgaria,50.8,50.0,49.2,48.4,47.6,46.44,45.28,44.12,42.96,41.8,42.5,43.199999999999996,43.9,44.599999999999994,45.3,45.82,46.339999999999996,46.86,47.379999999999995,47.9,46.6,46.6,46.9,48.0,49.2,49.4,52.0
Burkina Faso,81.1,80.55,80.0,79.45,78.9,78.24000000000001,77.58,76.92,76.25999999999999,75.6,74.72,73.84,72.96,72.08,71.2,70.34,69.48,68.62,67.76,66.9,65.8,64.6,63.4,62.4,62.3,62.5,62.8
Burundi,88.8,88.075,87.35,86.625,85.9,85.10000000000001,84.30000000000001,83.5,82.7,81.9,81.44,80.98,80.52,80.06,79.6,79.25999999999999,78.92,78.58,78.24000000000001,77.9,77.6,77.4,77.1,76.9,77.2,77.5,77.8
Cabo Verde,55.6,55.775,55.95,56.125,56.3,56.28,56.26,56.24,56.22,56.2,56.36,56.52,56.68,56.84,57.0,57.48,57.96,58.44,58.92,59.4,59.5,59.5,59.5,59.9,60.1,60.2,60.4
Cambodia,78.3,78.375,78.44999999999999,78.52499999999999,78.6,78.22,77.84,77.46,77.08,76.7,77.42,78.14,78.86,79.58,80.3,81.08,81.86,82.64,83.42,84.2,83.5,82.6,81.8,80.9,80.1,80.1,80.1
Cameroon,76.7,76.525,76.35,76.175,76.0,75.96,75.92,75.88,75.84,75.8,76.25999999999999,76.72,77.17999999999999,77.64,78.1,77.03999999999999,75.97999999999999,74.92,73.86,72.8,73.0,73.2,73.4,73.6,73.6,73.7,73.8
Canada,59.4,59.125,58.849999999999994,58.574999999999996,58.3,58.8,59.3,59.8,60.3,60.8,61.08,61.36,61.64,61.92,62.2,62.0,61.800000000000004,61.6,61.400000000000006,61.2,61.4,61.4,61.5,61.2,61.0,60.8,61.3
Central African Republic,68.1,67.975,67.85,67.725,67.6,67.5,67.39999999999999,67.3,67.19999999999999,67.1,67.11999999999999,67.14,67.16,67.18,67.2,67.26,67.32000000000001,67.38,67.44,67.5,67.5,67.5,67.7,67.6,67.5,67.5,67.5
Chad,71.9,71.825,71.75,71.675,71.6,71.52,71.44,71.36,71.28,71.2,71.10000000000001,71.0,70.9,70.8,70.7,70.64,70.58,70.52000000000001,70.46000000000001,70.4,70.3,70.2,69.9,69.9,69.7,69.6,69.7
Chile,52.4,52.8,53.2,53.6,54.0,53.34,52.68,52.02,51.36,50.7,50.980000000000004,51.260000000000005,51.54,51.82,52.1,52.800000000000004,53.5,54.2,54.9,55.6,57.4,57.8,58.1,58.1,58.2,58.0,58.0
China,77.2,76.975,76.75,76.525,76.3,75.98,75.66,75.34,75.02,74.7,73.78,72.86,71.94,71.02,70.1,69.64,69.17999999999999,68.72,68.25999999999999,67.8,67.6,67.4,67.2,67.0,66.7,66.4,66.2
