,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,1748886596.863,1831108981.9572198,1595555481.80547,1733333275.43785,2155555500.36703,2366666612.8316197,2555555570.77015,2953333407.9422603,3300000103.03123,3697940355.8272,3641723443.2232103,3478787915.8675,3438884593.754,3399439011.39688,3360445863.74926,3321900001.5310698,3320599991.39107,2887499992.68354,2664299990.86726,3342200001.76709,3621600007.1574397,3340100005.1500897,3474600006.81126,2664399991.64726,2114600000.2314801,3236300000.40397,3124359411.28794,3016290743.1279697,2911960069.00855,2719992174.91156,3531869351.4063396,3620525249.7050204,4285170217.71788,4935549826.748489,5586984095.88191,6621833827.41925,7514261673.144991,10380165236.3865,10768480569.675,12572598112.2702,16077921038.0009,19170467658.8398,21330874642.0955,21610365220.5318,21330660727.5427,20608090680.9852,20235070056.4879,21515502134.7253,20513883242.632
Albania,2265577056.0,2330584859.8,2397526448.4,2466543460.8,2537015816.8,2610110369.0,2685745677.8,2760746396.6,2842275925.8,2372305640.82408,2141837051.28571,2215474766.14286,2280424885.2857103,2305384485.2857103,2275736341.57143,2324414456.42857,2397086882.85714,2378194809.85714,2460399973.76456,2940586486.58616,2145774521.38228,1597156849.46614,1516149180.24646,1700439874.01919,1880950821.03075,2392764887.07894,3199642023.74985,2224654241.17458,2554868837.49945,3221670165.24369,3487586302.02034,3926887596.5171704,4355865888.71302,5561459460.63313,7177030364.862009,8052079314.495,8896076004.05087,10677322220.2843,12881352058.1735,12044210390.1228,11926948284.4373,12890873322.9257,12319779604.2613,12776280737.7422,13228240078.8447,11386924852.7363,11861356451.1651,13025068581.0203,15058883769.5139
Algeria,5155120658.18604,5363676160.384211,7176428383.963809,9229622199.9422,13259764649.9455,15555547082.5939,17750032487.6166,20990939140.4107,26373761386.9169,33201433009.2739,42252197741.0135,44264573121.9755,45094842770.2302,48702201862.6174,52827902259.2142,57866207279.3269,62922803868.2352,64333578321.8006,58655419182.498,55344476937.2647,61751375956.8184,46565003199.2313,49105553594.9112,50846930343.3423,42330711146.4954,41971488419.882,46836290498.993,48068457028.1602,48079007974.3271,48531031756.9918,54666896856.615,55056733057.304,56819210890.9552,67863851626.0261,85332517816.5892,103198216067.335,117027277939.30301,134977088396.419,171000692134.74802,137211008420.809,161207304960.455,200019103012.99802,209059083117.985,209755003250.66397,213809979479.76898,165979119044.553,160034211699.72,167389890425.315,173757487516.309
Andorra,99476786.5094089,113128491.617463,143506004.433868,190863792.163935,236055468.159692,278514317.213074,287588366.356471,321390136.87127,389745928.506047,520742333.06906503,564812657.147207,492189978.486918,475654367.99031794,414836775.510643,417649689.171187,438742504.30809504,609881940.101611,773493497.188522,912838474.352741,1006552717.7124699,1302006184.29038,1400576915.30311,1531034034.8964,1274297409.07475,1287524766.27926,1491495988.23771,1548787642.99075,1493901087.55535,1533515781.6083698,1568801032.0099301,1434428602.02951,1496899356.60531,1733195719.11013,2398553103.2005,2935788990.08524,3255711087.8973303,3543069407.43428,4016771107.4233103,4007494572.3875103,3660303820.52106,3355493859.43595,3442272767.9770303,3164644159.3877,3281764412.58765,3350604236.99674,2811614488.23772,2877200508.67628,3020852315.1058397,3238225155.9496303
Angola,3806982079.71952,4007445383.51084,4102154515.15859,5016276242.50345,5626960653.93293,4147433124.83733,3980906822.5872397,4344224827.86283,4845481539.54141,5380155364.66341,7151262407.24647,6693017100.07354,6693017100.07354,6975014061.76884,7393602901.26345,9109025041.78087,8548514004.946859,9843778337.45571,10627491536.8674,12367075840.6311,13661852349.756,16182941505.7927,18586043029.4995,13468133855.7233,13860715823.998999,6642229261.72195,8725773842.46332,10226790656.3057,8617787793.97127,8227190090.8894205,12207354573.0282,11948601235.723,15285592487.4237,17812704626.2324,23552045850.3415,36970878078.6716,52381025105.2177,65266415706.9741,88538664888.1983,70307193220.9366,83799478929.8438,111789745968.164,128052913437.634,136709891897.328,145712175327.65198,116193647513.086,101123830009.72699,122123858627.664,105902340902.945
Anguilla,3902379.56952201,4589878.45747535,5416747.42287255,6129013.43709576,6749689.87385041,7371447.46721562,7058818.17500928,7889455.18518518,9103205.18518518,10504178.5185185,12122528.888888901,13988465.5555556,16142467.407407401,18629155.925925896,21625990.3703704,27126450.3703704,35064532.592592604,43734775.1851852,54742893.33333329,68125906.2962963,75601760.3703704,77720090.7407407,84450415.92592591,92101083.7037037,102769857.777778,103736474.444444,109541315.925926,122672905.555556,138637504.81481498,147301063.33333302,149959259.25925902,154922222.222222,157444444.444444,169777777.777778,201174074.074074,229114450.37037003,284263748.148148,355278072.22222203,354325896.666667,282504032.22222203,267930744.07407403,292415832.22222203,280111741.111111,281800591.481481,311310068.148148,330534858.518519,317126204.444444,281193109.62962997,293010292.962963
Antigua and Barbuda,33865822.9830671,41156057.11352821,56405489.24660171,78360329.0435645,83529500.2594577,85416591.3853261,71000876.92446959,80823635.18518521,91503578.14814809,112682447.777778,134449619.62963,152098677.777778,168525877.777778,187261031.851852,211924459.25925902,244778859.62962997,290440740.740741,337174074.07407403,398637037.037037,438796296.296296,459470370.37037003,481707407.40740705,499281481.48148096,535174074.07407403,589429629.629629,577281481.481481,633729629.629629,680618518.518518,727859259.259259,766200000.0,826370370.37037,800481481.481481,814381481.481481,856396296.296296,919729629.6296289,1022962962.96296,1157662962.96296,1312759259.25926,1370070370.37037,1228329629.62963,1148700000.0,1137637037.03704,1199948148.14815,1181448148.14815,1249733333.3333302,1336692592.59259,1436585185.18519,1467977777.77778,1610574074.07407
Argentina,33984527481.4904,40656247705.2686,38310473360.1658,43140638007.212006,48535089982.5907,51660399831.9014,54697568024.9147,61654971664.6432,63751360873.9643,73916333539.392,81764380492.2941,84652844827.2381,87041466885.3304,94170330405.9571,99524448684.3279,95529910652.7154,114734842767.74,117919338027.43599,137512093210.354,83044458652.0204,153185723202.375,205589521324.12,247929419773.379,256573074883.10602,279266992407.471,279701425371.343,295030768611.406,317532579012.50604,324135104738.36896,307410162020.01,308148233466.73303,291334718272.136,110583590317.494,140444139675.444,165947750429.25302,200622205937.167,234391234167.418,289755142706.824,365644376649.99603,336359389616.28,426487434874.483,530158176681.574,581430904392.676,613316027356.944,567050145343.292,644903200498.5961,557532317365.891,642695596033.938,518475287872.09
Armenia,,,,,,,,,,,,,,,,,,,,,2301747236.18166,2101680494.09317,1251990701.18692,1168729484.20146,1257276100.05054,1372097033.49504,1703037605.01782,1747514992.50265,2017852885.7765398,1968057834.62453,2038534802.82335,2259108208.2392898,2534163310.57114,2993550393.21013,3814176693.6309295,5225971849.50271,6808524717.52552,9817806812.33201,12436664185.2499,9222356746.3383,9875377779.084879,10815777610.6523,10619320692.8087,11121464429.703001,11609513241.0754,10553337527.7745,10546136240.3952,11527458712.6186,12433142777.9805
Aruba,197623955.307263,208158924.022346,219255492.178771,230943598.32402202,243254775.41899398,256222239.10614502,269880974.301676,284267830.72625697,299421624.022346,315383238.547486,332195737.43016803,349904479.888268,368557242.458101,388204349.16201097,408898806.703911,430696447.486034,453656081.00558704,545558022.346369,667313460.893855,777947008.3798879,855800245.251397,975799596.089386,1072384439.10615,1211700758.10056,1393884832.96089,1383932694.41341,1445987206.14525,1605221424.5810099,1745136786.03352,1805323807.8212302,1963193998.32402,2012249563.1284897,2034076382.68156,2118129476.5363102,2335011753.07263,2442664622.3463697,2537467524.5810103,2736839972.6257,2873068068.1564198,2615228625.69832,2501802658.10056,2668433589.94413,2652647501.67598,2701759776.53631,2765262569.8324,2919502793.2960896,2965865921.78771,3056206703.91061,3203132960.89385
