Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,63.4,63.4,63.4,63.4,63.4,63.4,63.339999999999996,63.28,63.22,63.160000000000004,63.1,63.36,63.620000000000005,63.88,64.14,64.4,64.18,63.96,63.74,63.519999999999996,63.3,63.5,63.9,64.3,64.8,65.3,65.6,65.9
Albania,64.4,64.22,64.04,63.86,63.68,63.5,63.36,63.22,63.08,62.94,62.8,61.82,60.839999999999996,59.86,58.879999999999995,57.9,57.18,56.46,55.739999999999995,55.019999999999996,54.3,55.7,57.4,53.7,54.4,56.5,56.3,56.2
Algeria,44.2,44.36,44.52,44.68,44.84,45.0,44.72,44.44,44.160000000000004,43.88,43.6,43.38,43.160000000000004,42.94,42.72,42.5,42.48,42.46,42.44,42.42,42.4,42.5,42.7,43.7,41.5,41.5,41.4,41.4
Angola,78.0,77.96,77.92,77.88,77.84,77.8,77.78,77.76,77.74,77.72,77.7,77.7,77.7,77.7,77.7,77.7,77.72,77.74,77.76,77.78,77.8,77.9,77.9,77.9,77.9,77.9,77.8,77.7
Argentina,59.1,59.5,59.9,60.300000000000004,60.7,61.1,61.36,61.62,61.88,62.14,62.4,62.339999999999996,62.28,62.22,62.160000000000004,62.1,61.800000000000004,61.5,61.2,60.9,60.6,60.8,60.7,60.4,59.9,60.2,60.4,60.6
Armenia,59.2,58.980000000000004,58.760000000000005,58.54,58.32,58.1,57.76,57.42,57.08,56.74,56.4,56.3,56.199999999999996,56.1,56.0,55.9,56.62,57.339999999999996,58.06,58.78,59.5,60.6,60.4,60.8,60.5,59.8,58.7,58.6
Australia,63.9,63.86,63.82,63.78,63.74,63.7,63.64,63.58,63.52,63.46,63.4,63.62,63.839999999999996,64.06,64.28,64.5,64.7,64.9,65.1,65.3,65.5,65.6,65.3,65.0,64.8,65.0,64.9,65.1
Austria,56.0,56.62,57.24,57.86,58.480000000000004,59.1,58.980000000000004,58.86,58.74,58.62,58.5,58.42,58.34,58.26,58.18,58.1,58.480000000000004,58.86,59.24,59.62,60.0,60.0,60.3,60.4,60.2,60.1,60.4,60.4
Azerbaijan,60.5,61.16,61.82,62.48,63.14,63.8,63.66,63.519999999999996,63.38,63.24,63.1,63.04,62.98,62.92,62.86,62.8,63.0,63.199999999999996,63.4,63.599999999999994,63.8,64.0,64.3,64.6,65.1,65.5,66.3,66.6
Bahamas,72.0,72.62,73.24,73.86,74.47999999999999,75.1,75.06,75.02,74.98,74.94,74.9,74.94,74.98,75.02,75.06,75.1,75.1,75.1,75.1,75.1,75.1,75.0,74.9,74.9,74.8,74.7,74.6,74.5
Bahrain,65.0,65.1,65.2,65.3,65.4,65.5,65.56,65.62,65.67999999999999,65.74,65.8,66.36,66.92,67.47999999999999,68.03999999999999,68.6,69.32,70.03999999999999,70.76,71.48,72.2,71.4,71.5,71.5,71.6,71.6,71.9,72.4
Bangladesh,56.7,56.74,56.78,56.82,56.86,56.9,56.94,56.98,57.02,57.06,57.1,57.120000000000005,57.14,57.160000000000004,57.18,57.2,57.1,57.0,56.900000000000006,56.800000000000004,56.7,56.6,56.6,56.6,56.5,56.5,56.4,58.7
Barbados,69.0,69.26,69.52,69.78,70.03999999999999,70.3,70.0,69.7,69.39999999999999,69.1,68.8,68.94,69.08,69.22,69.36,69.5,69.2,68.9,68.6,68.3,68.0,67.9,66.7,67.4,65.3,65.7,66.3,65.9
Belarus,59.8,59.66,59.519999999999996,59.38,59.24,59.1,59.1,59.1,59.1,59.1,59.1,59.46,59.82,60.18,60.54,60.9,61.32,61.74,62.16,62.58,63.0,63.4,63.7,63.9,64.1,64.3,64.3,64.0
Belgium,48.3,48.72,49.14,49.559999999999995,49.98,50.4,50.76,51.12,51.480000000000004,51.84,52.2,52.400000000000006,52.6,52.800000000000004,53.0,53.2,53.36,53.52,53.68,53.84,54.0,53.1,53.1,53.5,53.6,53.5,53.2,53.4
Belize,58.5,58.56,58.62,58.68,58.739999999999995,58.8,59.26,59.72,60.18,60.64,61.1,61.68,62.26,62.84,63.42,64.0,64.64,65.28,65.92,66.56,67.2,68.0,68.8,68.0,67.2,66.4,66.8,67.0
