Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,3.0,3.175,3.35,3.5250000000000004,3.7,3.66,3.62,3.58,3.54,3.5,3.38,3.26,3.1399999999999997,3.02,2.9,2.78,2.6599999999999997,2.54,2.42,2.3,2.0,1.7,1.7,1.7,1.7,1.6,1.6
Albania,16.8,17.0,17.200000000000003,17.400000000000002,17.6,17.64,17.68,17.720000000000002,17.76,17.8,17.62,17.44,17.259999999999998,17.08,16.9,16.34,15.78,15.219999999999999,14.66,14.1,13.5,13.4,15.9,17.5,17.1,15.2,13.8
Algeria,20.6,23.400000000000002,26.200000000000003,29.0,31.8,31.400000000000002,31.0,30.6,30.2,29.8,26.900000000000002,24.0,21.1,18.200000000000003,15.3,14.24,13.18,12.120000000000001,11.06,10.0,10.0,11.0,9.8,10.2,11.2,10.2,12.0
Angola,22.6,22.25,21.9,21.55,21.2,21.54,21.88,22.22,22.56,22.9,22.419999999999998,21.939999999999998,21.46,20.98,20.5,18.22,15.94,13.66,11.379999999999999,9.1,7.4,7.4,7.5,7.4,7.3,7.3,7.1
Argentina,5.4,8.75,12.100000000000001,15.450000000000001,18.8,18.04,17.28,16.52,15.76,15.0,14.3,13.6,12.9,12.2,11.5,10.74,9.98,9.219999999999999,8.46,7.7,7.2,7.2,7.1,7.3,7.6,8.0,8.4
Armenia,1.6,2.875,4.15,5.425,6.7,7.62,8.540000000000001,9.46,10.38,11.3,11.200000000000001,11.100000000000001,11.0,10.9,10.8,12.440000000000001,14.08,15.72,17.36,19.0,18.4,17.3,16.2,17.5,18.3,17.6,17.8
Australia,9.6,9.325,9.05,8.775,8.5,8.06,7.62,7.18,6.74,6.3,6.04,5.78,5.52,5.26,5.0,5.04,5.08,5.12,5.16,5.2,5.1,5.2,5.7,6.1,6.1,5.7,5.6
Austria,3.4,3.65,3.9000000000000004,4.15,4.4,4.46,4.5200000000000005,4.58,4.640000000000001,4.7,4.88,5.06,5.24,5.42,5.6,5.4399999999999995,5.279999999999999,5.12,4.96,4.8,4.6,4.9,5.3,5.6,5.7,6.0,5.5
Azerbaijan,0.9,2.475,4.05,5.625,7.2,8.120000000000001,9.040000000000001,9.96,10.88,11.8,10.9,10.0,9.100000000000001,8.2,7.3,6.96,6.62,6.279999999999999,5.9399999999999995,5.6,5.4,5.2,5.0,4.9,5.0,5.0,5.0
Bahamas,12.2,11.85,11.5,11.15,10.8,10.08,9.360000000000001,8.64,7.92,7.2,7.8,8.4,9.0,9.6,10.2,11.059999999999999,11.92,12.78,13.64,14.5,14.5,14.0,16.2,13.8,12.0,12.7,12.4
Bahrain,1.0,1.025,1.05,1.0750000000000002,1.1,1.1,1.1,1.1,1.1,1.1,1.08,1.06,1.04,1.02,1.0,1.02,1.04,1.06,1.08,1.1,1.1,1.2,1.2,1.2,1.1,1.0,1.0
Bangladesh,2.2,2.2750000000000004,2.35,2.425,2.5,2.66,2.82,2.98,3.1399999999999997,3.3,3.5,3.6999999999999997,3.9,4.1,4.3,4.12,3.94,3.76,3.58,3.4,3.7,4.1,4.4,4.4,4.4,4.4,4.4
Barbados,22.5,21.8,21.1,20.4,19.7,17.64,15.58,13.52,11.46,9.4,9.34,9.28,9.22,9.16,9.1,9.42,9.74,10.059999999999999,10.379999999999999,10.7,11.2,11.6,11.6,12.2,11.4,9.7,9.5
Belarus,0.6,4.874999999999999,9.149999999999999,13.424999999999999,17.7,16.54,15.379999999999999,14.22,13.06,11.9,11.22,10.540000000000001,9.86,9.18,8.5,8.02,7.54,7.06,6.58,6.1,6.1,6.0,5.9,5.9,5.9,5.8,5.7
Belgium,7.0,7.575,8.15,8.725000000000001,9.3,8.76,8.22,7.68,7.14,6.6,6.96,7.32,7.68,8.040000000000001,8.4,8.38,8.360000000000001,8.34,8.32,8.3,7.1,7.5,8.4,8.5,8.5,7.8,7.1
Belize,8.1,9.2,10.3,11.4,12.5,12.12,11.74,11.36,10.98,10.6,10.66,10.72,10.78,10.84,10.9,11.06,11.22,11.379999999999999,11.54,11.7,12.8,14.3,11.7,11.6,10.0,7.9,9.0
Benin,1.5,1.425,1.35,1.275,1.2,1.1199999999999999,1.04,0.96,0.88,0.8,0.8,0.8,0.8,0.8,0.8,0.8400000000000001,0.88,0.92,0.96,1.0,2.7,2.7,2.7,2.5,2.5,2.4,2.2
Bhutan,1.3,1.3,1.3,1.3,1.3,1.3800000000000001,1.46,1.54,1.62,1.7,1.98,2.26,2.54,2.8200000000000003,3.1,3.14,3.18,3.2199999999999998,3.26,3.3,3.2,2.1,2.9,2.6,2.5,2.3,2.2
Bolivia (Plurinational State of),2.9,3.0,3.0999999999999996,3.1999999999999997,3.3,3.32,3.34,3.36,3.38,3.4,3.38,3.36,3.34,3.32,3.3,3.1599999999999997,3.02,2.88,2.74,2.6,2.2,2.1,2.4,2.0,3.1,3.1,3.2
Bosnia and Herzegovina,17.6,18.5,19.4,20.3,21.2,22.2,23.2,24.2,25.2,26.2,27.06,27.919999999999998,28.78,29.64,30.5,29.86,29.22,28.580000000000002,27.94,27.3,27.6,28.0,27.5,27.5,27.7,25.4,20.5
Botswana,13.8,15.7,17.6,19.5,21.4,20.299999999999997,19.2,18.1,17.0,15.9,16.68,17.46,18.240000000000002,19.02,19.8,19.42,19.04,18.66,18.279999999999998,17.9,17.8,17.9,18.3,18.2,18.0,18.0,17.6
Brazil,6.3,6.325,6.35,6.375,6.4,7.1000000000000005,7.800000000000001,8.5,9.2,9.9,9.84,9.78,9.72,9.66,9.6,9.219999999999999,8.84,8.46,8.08,7.7,6.9,7.2,7.0,6.7,8.4,11.6,12.8
Brunei Darussalam,4.7,4.85,5.0,5.15,5.3,5.359999999999999,5.42,5.4799999999999995,5.54,5.6,5.66,5.72,5.78,5.84,5.9,6.0600000000000005,6.220000000000001,6.38,6.54,6.7,6.7,6.9,7.0,7.0,7.8,8.6,9.3
Bulgaria,12.2,12.475,12.75,13.025,13.3,13.88,14.46,15.04,15.62,16.2,14.979999999999999,13.76,12.54,11.32,10.1,10.14,10.18,10.22,10.26,10.3,11.3,12.3,12.9,11.4,9.1,7.6,6.2
Burkina Faso,2.4,2.45,2.5,2.55,2.6,2.62,2.64,2.66,2.68,2.7,2.96,3.22,3.48,3.74,4.0,4.18,4.36,4.54,4.720000000000001,4.9,5.3,5.8,6.3,6.5,6.7,6.4,6.0
