decade,All natural disasters,Drought,Earthquake,Extreme temperature,Extreme weather,Flood,Landslide,Mass movement (dry),Volcanic activity,Wildfire
1900-1910,77,11,33,0,14,6,1,4,8,0
1910-1920,56,3,25,0,18,4,0,1,3,2
1920-1930,94,2,35,0,37,10,5,0,3,2
1930-1940,103,11,31,2,38,12,5,1,2,1
1940-1950,143,4,45,0,57,20,5,0,8,4
1950-1960,309,1,57,8,133,78,21,1,9,1
1960-1970,584,49,76,9,216,179,28,4,11,12
1970-1980,895,77,114,18,309,271,52,2,25,27
1980-1990,1798,124,215,48,653,545,102,19,32,60
1990-2000,2710,152,254,110,864,962,170,14,55,129
2000-2010,3843,163,283,222,1040,1752,196,7,61,119
2010-2020,2956,143,236,178,834,1290,149,4,35,86
