Year,World,Africa,Asia,Europe,Oceania,South America,North America
1950,2536431.018 ,227794.137 ,1404908.992 ,549328.859 ,12975.895 ,168820.524 ,172602.611 
1951,2584034.227 ,232327.857 ,1435819.067 ,554324.506 ,13265.718 ,173280.491 ,175016.588 
1952,2630861.690 ,237096.560 ,1464833.757 ,559694.362 ,13542.582 ,177915.929 ,177778.500 
1953,2677609.061 ,242092.456 ,1492894.964 ,565281.964 ,13817.609 ,182708.882 ,180813.186 
1954,2724846.754 ,247310.597 ,1520767.943 ,570969.740 ,14099.195 ,187647.746 ,184051.533 
1955,2773019.915 ,252748.917 ,1549041.914 ,576678.764 ,14392.690 ,192727.225 ,187430.405 
1956,2822443.254 ,258408.217 ,1578122.023 ,582371.318 ,14700.237 ,197948.656 ,190892.803 
1957,2873306.058 ,264292.214 ,1608237.026 ,588048.223 ,15020.985 ,203319.926 ,194387.684 
1958,2925686.680 ,270407.028 ,1639460.782 ,593743.357 ,15351.517 ,208853.819 ,197870.177 
1959,2979576.147 ,276760.722 ,1671747.880 ,599513.229 ,15686.725 ,214566.099 ,201301.492 
1960,3034949.715 ,283361.171 ,1705041.057 ,605406.966 ,16021.632 ,220469.724 ,204649.165 
1961,3091843.513 ,290214.467 ,1739385.847 ,611434.035 ,16353.995 ,226567.965 ,207887.204 
1962,3150420.761 ,297322.604 ,1775030.792 ,617536.170 ,16686.153 ,232848.860 ,210996.182 
1963,3211000.946 ,304683.366 ,1812470.355 ,623575.133 ,17026.041 ,239282.573 ,213963.478 
1964,3273978.272 ,312291.849 ,1852323.205 ,629367.166 ,17384.629 ,245828.548 ,216782.875 
1965,3339583.510 ,320147.295 ,1894974.242 ,634783.191 ,17768.694 ,252455.927 ,219454.161 
1966,3407922.631 ,328256.594 ,1940602.034 ,639761.941 ,18181.501 ,259154.154 ,221966.407 
1967,3478770.104 ,336631.177 ,1988923.053 ,644345.492 ,18617.455 ,265925.616 ,224327.311 
1968,3551599.436 ,345280.354 ,2039270.161 ,648636.121 ,19063.872 ,272768.308 ,226580.620 
1969,3625680.965 ,354214.822 ,2090702.385 ,652789.653 ,19503.138 ,279684.291 ,228786.676 
1970,3700437.042 ,363447.593 ,2142480.290 ,656919.370 ,19922.225 ,286675.705 ,230991.859 
1971,3775760.030 ,372983.506 ,2194450.679 ,661056.103 ,20318.198 ,293738.009 ,233213.535 
1972,3851650.588 ,382837.766 ,2246636.202 ,665163.511 ,20694.096 ,300869.446 ,235449.567 
1973,3927780.519 ,393044.438 ,2298696.357 ,669207.973 ,21050.079 ,308078.654 ,237703.018 
1974,4003794.178 ,403645.936 ,2350279.012 ,673132.239 ,21387.966 ,315378.185 ,239970.840 
1975,4079480.474 ,414674.676 ,2401171.424 ,676895.457 ,21710.275 ,322777.147 ,242251.495 
1976,4154666.827 ,426144.456 ,2451184.258 ,680497.657 ,22015.367 ,330272.366 ,244552.723 
1977,4229505.919 ,438054.807 ,2500443.525 ,683959.538 ,22305.397 ,337860.349 ,246882.303 
1978,4304533.599 ,450403.897 ,2549465.800 ,687285.860 ,22592.024 ,345548.257 ,249237.761 
1979,4380506.185 ,463183.561 ,2598988.419 ,690485.017 ,22890.508 ,353344.976 ,251613.704 
1980,4458003.466 ,476386.225 ,2649578.327 ,693566.516 ,23212.084 ,361253.181 ,254007.133 
1981,4536996.619 ,490003.905 ,2701224.867 ,696513.450 ,23560.987 ,369274.506 ,256418.904 
1982,4617386.526 ,504034.176 ,2753837.835 ,699330.019 ,23934.628 ,377395.867 ,258854.001 
1983,4699569.187 ,518479.760 ,2807785.245 ,702070.425 ,24328.845 ,385586.591 ,261318.321 
1984,4784011.517 ,533345.152 ,2863496.847 ,704807.481 ,24736.219 ,393806.371 ,263819.447 
1985,4870921.666 ,548626.140 ,2921173.210 ,707584.186 ,25151.041 ,402023.662 ,266363.427 
1986,4960568.000 ,564327.298 ,2981064.008 ,710422.127 ,25572.659 ,410223.399 ,268958.509 
1987,5052521.998 ,580424.292 ,3042805.985 ,713279.278 ,26001.723 ,418404.105 ,271606.615 
1988,5145425.994 ,596849.007 ,3105220.238 ,716056.662 ,26434.887 ,426564.862 ,274300.338 
1989,5237441.434 ,613512.108 ,3166705.918 ,718617.276 ,26868.220 ,434709.748 ,277028.164 
1990,5327231.041 ,630349.685 ,3226098.922 ,720858.411 ,27298.694 ,442840.078 ,279785.251 
1991,5414289.383 ,647344.041 ,3282945.323 ,722775.857 ,27725.243 ,450946.515 ,282552.404 
1992,5498919.893 ,664512.034 ,3337511.634 ,724390.027 ,28147.954 ,459018.543 ,285339.701 
1993,5581597.598 ,681869.333 ,3390245.425 ,725656.793 ,28566.202 ,467054.731 ,288205.114 
1994,5663150.428 ,699445.413 ,3441912.676 ,726529.356 ,28979.990 ,475055.721 ,291227.272 
1995,5744212.930 ,717270.112 ,3493086.998 ,726994.433 ,29389.629 ,483018.226 ,294453.532 
1996,5824891.931 ,735361.107 ,3543851.235 ,727020.289 ,29796.471 ,490944.026 ,297918.803 
