Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,161.2,161.73999999999998,162.28,162.82,163.36,163.9,164.16,164.42,164.68,164.94,165.2,161.44,157.68,153.92,150.16,146.4,143.74,141.08,138.42,135.76,133.1,126.6,120.2,113.7,107.3,100.8,90.2,79.6
Albania,16.3,16.78,17.26,17.74,18.22,18.7,18.82,18.94,19.06,19.18,19.3,19.2,19.1,19.0,18.900000000000002,18.8,18.740000000000002,18.68,18.62,18.56,18.5,18.9,19.4,19.8,20.3,20.7,20.4,20.0
Algeria,33.1,31.34,29.580000000000002,27.82,26.060000000000002,24.3,22.42,20.54,18.66,16.78,14.9,13.86,12.82,11.78,10.739999999999998,9.7,9.7,9.7,9.7,9.7,9.7,10.1,10.4,10.8,11.2,11.6,11.1,10.6
Angola,222.0,220.2,218.4,216.6,214.8,213.0,210.9,208.8,206.7,204.6,202.5,200.56,198.62,196.68,194.74,192.8,190.48000000000002,188.16,185.84,183.51999999999998,181.2,178.5,175.7,172.9,170.2,167.4,161.8,156.2
Antigua and Barbuda,83.3,81.0,78.7,76.39999999999999,74.1,71.8,70.52,69.24,67.96000000000001,66.68,65.4,64.26,63.120000000000005,61.980000000000004,60.84,59.7,58.0,56.300000000000004,54.6,52.900000000000006,51.2,50.3,49.5,48.7,47.8,47.0,45.6,44.2
Argentina,73.4,73.44,73.48,73.52,73.56,73.6,72.83999999999999,72.08,71.32,70.56,69.8,68.66,67.52,66.38,65.24,64.1,63.85999999999999,63.62,63.379999999999995,63.14,62.9,63.1,63.2,63.3,63.4,63.6,63.3,63.0
Armenia,65.6,68.5,71.39999999999999,74.3,77.19999999999999,80.1,74.06,68.02,61.98,55.94,49.9,46.4,42.9,39.4,35.9,32.4,31.48,30.56,29.64,28.72,27.8,27.2,26.6,26.0,25.4,24.8,23.7,22.6
Australia,21.1,21.060000000000002,21.02,20.98,20.939999999999998,20.9,20.619999999999997,20.34,20.06,19.78,19.5,18.98,18.46,17.939999999999998,17.419999999999998,16.9,16.939999999999998,16.98,17.02,17.060000000000002,17.1,16.1,15.2,14.2,13.3,12.3,12.1,11.9
Austria,21.4,21.2,21.0,20.799999999999997,20.599999999999998,20.4,19.279999999999998,18.16,17.04,15.92,14.8,14.5,14.200000000000001,13.9,13.600000000000001,13.3,12.860000000000001,12.42,11.98,11.54,11.1,10.6,10.1,9.5,9.0,8.5,8.1,7.7
Azerbaijan,25.7,28.06,30.42,32.78,35.14,37.5,38.46,39.42,40.379999999999995,41.339999999999996,42.3,40.36,38.42,36.480000000000004,34.54,32.6,33.78,34.96,36.14,37.32,38.5,40.6,42.8,44.9,47.1,49.2,51.4,53.6
Bahamas,69.8,69.75999999999999,69.72,69.67999999999999,69.64,69.6,68.06,66.52,64.97999999999999,63.44,61.9,58.339999999999996,54.78,51.22,47.66,44.1,43.18,42.26,41.34,40.42,39.5,38.1,36.8,35.5,34.1,32.8,31.9,30.9
Bahrain,32.5,30.46,28.42,26.38,24.34,22.3,21.6,20.900000000000002,20.200000000000003,19.5,18.8,18.400000000000002,18.0,17.6,17.2,16.8,16.400000000000002,16.0,15.600000000000001,15.200000000000001,14.8,14.6,14.5,14.3,14.2,14.0,13.8,13.6
Bangladesh,169.7,164.45999999999998,159.22,153.98,148.74,143.5,139.12,134.74,130.35999999999999,125.97999999999999,121.6,118.47999999999999,115.36,112.24,109.12,106.0,103.62,101.24,98.86,96.47999999999999,94.1,93.0,91.9,90.8,89.7,88.6,86.7,84.8
Barbados,49.9,51.5,53.1,54.7,56.3,57.9,56.72,55.54,54.36,53.18,52.0,51.7,51.4,51.1,50.8,50.5,49.86,49.22,48.58,47.94,47.3,46.4,45.5,44.6,43.6,42.7,39.7,36.6
Belarus,37.8,39.08,40.36,41.64,42.92,44.2,41.96,39.72,37.480000000000004,35.24,33.0,31.26,29.52,27.78,26.04,24.3,23.900000000000002,23.5,23.1,22.7,22.3,22.1,21.9,21.8,21.6,21.4,19.1,16.8
Belgium,11.4,11.280000000000001,11.16,11.040000000000001,10.92,10.8,10.68,10.56,10.44,10.32,10.2,10.34,10.48,10.62,10.76,10.9,10.72,10.540000000000001,10.36,10.18,10.0,9.2,8.4,7.6,6.8,6.0,5.6,5.1
Belize,131.6,129.62,127.64,125.66,123.68,121.7,118.62,115.54,112.46000000000001,109.38,106.3,103.28,100.26,97.24000000000001,94.22,91.2,88.7,86.2,83.7,81.2,78.7,77.5,76.3,75.1,73.9,72.7,71.3,69.9
Benin,123.1,123.83999999999999,124.58,125.32,126.06,126.8,126.0,125.2,124.39999999999999,123.6,122.8,121.38,119.96,118.54,117.12,115.7,114.3,112.9,111.5,110.10000000000001,108.7,106.2,103.8,101.3,98.8,96.4,92.9,89.5
Bhutan,107.5,106.2,104.9,103.6,102.3,101.0,98.64,96.28,93.92,91.56,89.2,85.2,81.2,77.2,73.2,69.2,64.94,60.68,56.42,52.16,47.9,43.9,39.9,36.0,32.0,28.0,25.4,22.8
Bolivia (Plurinational State of),96.4,95.54,94.68,93.82,92.96,92.1,91.24,90.38,89.52,88.66,87.8,87.38,86.96,86.54,86.12,85.7,84.94,84.18,83.42,82.66000000000001,81.9,80.1,78.3,76.5,74.7,72.9,70.2,67.6
Bosnia and Herzegovina,36.9,34.64,32.38,30.12,27.86,25.6,25.52,25.44,25.36,25.28,25.2,23.939999999999998,22.68,21.419999999999998,20.159999999999997,18.9,18.36,17.82,17.279999999999998,16.74,16.2,15.4,14.5,13.7,12.9,12.1,11.3,10.4
Botswana,122.1,116.69999999999999,111.3,105.89999999999999,100.5,95.1,90.14,85.17999999999999,80.22,75.25999999999999,70.3,66.58,62.86,59.14,55.42,51.7,51.1,50.5,49.900000000000006,49.300000000000004,48.7,48.6,48.5,48.4,48.3,48.1,47.5,46.8
Brazil,81.8,82.17999999999999,82.56,82.94,83.32000000000001,83.7,83.82000000000001,83.94,84.06,84.17999999999999,84.3,83.6,82.89999999999999,82.2,81.5,80.8,78.88,76.96,75.04,73.12,71.2,69.7,68.3,66.9,65.5,64.1,62.4,60.8
Brunei Darussalam,41.4,40.78,40.16,39.54,38.919999999999995,38.3,36.419999999999995,34.54,32.66,30.779999999999998,28.9,28.419999999999998,27.939999999999998,27.46,26.98,26.5,24.82,23.14,21.46,19.78,18.1,17.3,16.6,15.9,15.2,14.4,13.1,11.7
Bulgaria,75.8,73.98,72.16,70.34,68.52,66.7,63.0,59.300000000000004,55.6,51.900000000000006,48.2,47.06,45.92,44.78,43.64,42.5,43.24,43.980000000000004,44.72,45.46,46.2,45.7,45.2,44.7,44.2,43.8,42.5,41.2
Burkina Faso,150.2,149.12,148.04,146.96,145.88,144.8,144.36,143.92000000000002,143.48,143.04,142.6,141.5,140.4,139.29999999999998,138.2,137.1,135.62,134.14,132.66,131.17999999999998,129.7,126.8,124.0,121.1,118.3,115.4,111.7,108.0
Burundi,82.1,82.64,83.17999999999999,83.72,84.25999999999999,84.8,83.64,82.48,81.32,80.16,79.0,78.1,77.2,76.3,75.4,74.5,72.64,70.78,68.92,67.06,65.2,64.3,63.4,62.5,61.6,60.7,59.0,57.3
Cabo Verde,109.0,109.54,110.08,110.62,111.16,111.7,109.46000000000001,107.22,104.98,102.74,100.5,99.18,97.86,96.54,95.22,93.9,92.84,91.78,90.72,89.66,88.6,86.6,84.6,82.6,80.6,78.7,77.0,75.4
Cambodia,88.1,83.83999999999999,79.58,75.32,71.06,66.8,63.739999999999995,60.68,57.62,54.56,51.5,50.84,50.18,49.52,48.86,48.2,47.96,47.72,47.480000000000004,47.24,47.0,47.3,47.7,48.1,48.4,48.8,49.3,49.7
Cameroon,191.5,188.74,185.98,183.22,180.45999999999998,177.7,174.56,171.42,168.28,165.14,162.0,159.6,157.2,154.8,152.4,150.0,146.36,142.72,139.08,135.44,131.8,129.6,127.4,125.3,123.1,121.0,115.9,110.9
