Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,1340.0,1326.0,1312.0,1298.0,1284.0,1270.0,1236.0,1202.0,1168.0,1134.0,1100.0,1044.2,988.4,932.6,876.8,821.0,773.6,726.2,678.8,631.4,584.0,536.0,496.0,459.0,425.0
Albania,71.0,67.4,63.8,60.2,56.6,53.0,51.0,49.0,47.0,45.0,43.0,40.4,37.8,35.2,32.6,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0
Algeria,216.0,211.2,206.4,201.6,196.8,192.0,187.6,183.2,178.8,174.4,170.0,165.6,161.2,156.8,152.4,148.0,147.8,147.6,147.4,147.2,147.0,147.0,145.0,144.0,141.0
Angola,1160.0,1158.0,1156.0,1154.0,1152.0,1150.0,1104.8,1059.6,1014.4,969.2,924.0,880.2,836.4,792.6,748.8,705.0,676.2,647.4,618.6,589.8,561.0,546.0,526.0,509.0,493.0
Argentina,72.0,70.2,68.4,66.6,64.8,63.0,62.4,61.8,61.2,60.6,60.0,59.6,59.2,58.8,58.4,58.0,58.0,58.0,58.0,58.0,58.0,56.0,55.0,54.0,54.0
Armenia,58.0,56.4,54.8,53.2,51.6,50.0,48.0,46.0,44.0,42.0,40.0,40.0,40.0,40.0,40.0,40.0,38.6,37.2,35.8,34.4,33.0,31.0,30.0,28.0,26.0
Australia,8.0,8.0,8.0,8.0,8.0,8.0,8.2,8.4,8.6,8.8,9.0,8.6,8.2,7.8,7.4,7.0,6.8,6.6,6.4,6.2,6.0,7.0,6.0,6.0,6.0
Austria,8.0,7.6,7.2,6.8,6.4,6.0,5.8,5.6,5.4,5.2,5.0,5.0,5.0,5.0,5.0,5.0,4.8,4.6,4.4,4.2,4.0,4.0,4.0,4.0,4.0
Azerbaijan,64.0,68.4,72.8,77.2,81.6,86.0,78.4,70.8,63.2,55.6,48.0,45.2,42.4,39.6,36.8,34.0,32.6,31.2,29.8,28.4,27.0,26.0,25.0,25.0,26.0
Bahamas,46.0,46.6,47.2,47.8,48.4,49.0,51.4,53.8,56.2,58.6,61.0,63.6,66.2,68.8,71.4,74.0,76.2,78.4,80.6,82.8,85.0,86.0,82.0,81.0,83.0
Bahrain,26.0,25.2,24.4,23.6,22.8,22.0,21.8,21.6,21.4,21.2,21.0,20.8,20.6,20.4,20.2,20.0,19.2,18.4,17.6,16.8,16.0,16.0,16.0,15.0,15.0
Bangladesh,569.0,551.0,533.0,515.0,497.0,479.0,463.0,447.0,431.0,415.0,399.0,383.0,367.0,351.0,335.0,319.0,303.6,288.2,272.8,257.4,242.0,228.0,214.0,201.0,188.0
Barbados,58.0,56.2,54.4,52.6,50.8,49.0,48.8,48.6,48.4,48.2,48.0,46.4,44.8,43.2,41.6,40.0,38.6,37.2,35.8,34.4,33.0,31.0,29.0,28.0,28.0
Belarus,33.0,33.0,33.0,33.0,33.0,33.0,31.6,30.2,28.8,27.4,26.0,23.4,20.8,18.2,15.6,13.0,11.4,9.8,8.2,6.6,5.0,5.0,4.0,4.0,4.0
Belgium,9.0,9.2,9.4,9.6,9.8,10.0,9.8,9.6,9.4,9.2,9.0,8.8,8.6,8.4,8.2,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0
Belize,54.0,54.2,54.4,54.6,54.8,55.0,54.6,54.2,53.8,53.4,53.0,52.8,52.6,52.4,52.2,52.0,49.0,46.0,43.0,40.0,37.0,33.0,32.0,29.0,28.0
Benin,576.0,570.8,565.6,560.4,555.2,550.0,554.4,558.8,563.2,567.6,572.0,558.0,544.0,530.0,516.0,502.0,490.8,479.6,468.4,457.2,446.0,436.0,429.0,422.0,414.0
Bhutan,945.0,883.2,821.4,759.6,697.8,636.0,593.4,550.8,508.2,465.6,423.0,400.0,377.0,354.0,331.0,308.0,287.2,266.4,245.6,224.8,204.0,190.0,177.0,166.0,156.0
Bolivia (Plurinational State of),425.0,418.0,411.0,404.0,397.0,390.0,378.8,367.6,356.4,345.2,334.0,328.2,322.4,316.6,310.8,305.0,294.6,284.2,273.8,263.4,253.0,241.0,230.0,222.0,215.0
Bosnia and Herzegovina,28.0,26.8,25.6,24.4,23.2,22.0,21.0,20.0,19.0,18.0,17.0,16.4,15.8,15.2,14.6,14.0,13.8,13.6,13.4,13.2,13.0,12.0,12.0,12.0,12.0
Botswana,243.0,242.0,241.0,240.0,239.0,238.0,252.6,267.2,281.8,296.4,311.0,304.0,297.0,290.0,283.0,276.0,254.6,233.2,211.8,190.4,169.0,159.0,153.0,139.0,134.0
Brazil,104.0,100.0,96.0,92.0,88.0,84.0,80.4,76.8,73.2,69.6,66.0,66.2,66.4,66.6,66.8,67.0,66.6,66.2,65.8,65.4,65.0,59.0,60.0,48.0,46.0
Brunei Darussalam,35.0,34.6,34.2,33.8,33.4,33.0,32.6,32.2,31.8,31.4,31.0,30.8,30.6,30.4,30.2,30.0,29.4,28.8,28.2,27.6,27.0,29.0,25.0,24.0,23.0
Bulgaria,25.0,24.8,24.6,24.4,24.2,24.0,23.4,22.8,22.2,21.6,21.0,19.8,18.6,17.4,16.2,15.0,14.2,13.4,12.6,11.8,11.0,11.0,10.0,11.0,11.0
Burkina Faso,727.0,708.8,690.6,672.4,654.2,636.0,618.2,600.4,582.6,564.8,547.0,531.2,515.4,499.6,483.8,468.0,457.8,447.6,437.4,427.2,417.0,408.0,398.0,389.0,379.0
Burundi,1220.0,1218.0,1216.0,1214.0,1212.0,1210.0,1158.8,1107.6,1056.4,1005.2,954.0,935.8,917.6,899.4,881.2,863.0,852.0,841.0,830.0,819.0,808.0,796.0,780.0,760.0,737.0
Cabo Verde,256.0,234.8,213.6,192.4,171.2,150.0,136.6,123.2,109.8,96.4,83.0,77.2,71.4,65.6,59.8,54.0,53.4,52.8,52.2,51.6,51.0,50.0,48.0,46.0,44.0
Cambodia,1020.0,962.0,904.0,846.0,788.0,730.0,680.8,631.6,582.4,533.2,484.0,450.2,416.4,382.6,348.8,315.0,292.4,269.8,247.2,224.6,202.0,188.0,178.0,173.0,167.0
Cameroon,728.0,732.2,736.4,740.6,744.8,749.0,749.2,749.4,749.6,749.8,750.0,745.8,741.6,737.4,733.2,729.0,718.4,707.8,697.2,686.6,676.0,652.0,632.0,619.0,609.0
