Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,118.8,115.48,112.16,108.84,105.52,102.2,99.8,97.4,95.0,92.60000000000001,90.2,87.84,85.48,83.12,80.76,78.4,75.84,73.28,70.72,68.16,65.6,63.2,60.9,58.7,56.7,54.9,53.2
Albania,34.8,33.54,32.28,31.02,29.759999999999998,28.5,27.16,25.82,24.48,23.14,21.8,20.52,19.240000000000002,17.96,16.68,15.4,14.46,13.52,12.58,11.64,10.7,10.1,9.5,9.0,8.6,8.3,8.1
Algeria,41.8,40.879999999999995,39.96,39.04,38.120000000000005,37.2,36.54,35.88,35.22,34.56,33.9,32.879999999999995,31.86,30.84,29.82,28.8,27.740000000000002,26.68,25.62,24.560000000000002,23.5,22.9,22.4,22.1,21.8,21.4,21.0
Andorra,7.5,7.16,6.82,6.48,6.14,5.8,5.58,5.36,5.140000000000001,4.92,4.7,4.58,4.46,4.34,4.22,4.1,4.04,3.9799999999999995,3.92,3.86,3.8,3.7,3.7,3.6,3.5,3.4,3.3
Angola,132.0,131.92,131.84,131.76,131.68,131.6,129.79999999999998,128.0,126.19999999999999,124.39999999999999,122.6,118.44,114.28,110.12,105.96,101.8,96.72,91.64,86.56,81.48,76.4,71.9,67.8,64.1,60.9,58.2,55.8
Antigua and Barbuda,24.2,22.88,21.56,20.240000000000002,18.92,17.6,16.68,15.760000000000002,14.84,13.92,13.0,12.42,11.84,11.26,10.68,10.1,9.64,9.18,8.719999999999999,8.26,7.8,7.4,7.0,6.6,6.2,5.9,5.6
Argentina,25.4,24.66,23.919999999999998,23.18,22.439999999999998,21.7,20.9,20.099999999999998,19.299999999999997,18.5,17.7,17.099999999999998,16.5,15.899999999999999,15.299999999999999,14.7,14.36,14.02,13.68,13.34,13.0,12.5,11.9,11.3,10.7,10.2,9.7
Armenia,42.3,40.54,38.78,37.019999999999996,35.26,33.5,32.1,30.7,29.3,27.9,26.5,25.34,24.18,23.02,21.86,20.7,19.78,18.86,17.94,17.02,16.1,15.3,14.5,13.8,13.1,12.5,11.9
Australia,7.6,7.239999999999999,6.88,6.52,6.16,5.8,5.66,5.52,5.38,5.239999999999999,5.1,5.04,4.9799999999999995,4.92,4.859999999999999,4.8,4.64,4.4799999999999995,4.32,4.16,4.0,3.8,3.6,3.5,3.3,3.2,3.1
Austria,8.0,7.54,7.08,6.62,6.16,5.7,5.48,5.26,5.04,4.819999999999999,4.6,4.5,4.3999999999999995,4.3,4.199999999999999,4.1,3.9999999999999996,3.9,3.8,3.7,3.6,3.5,3.3,3.2,3.1,3.0,3.0
Azerbaijan,75.9,75.76,75.62,75.48,75.34,75.2,72.38,69.56,66.74000000000001,63.92,61.1,57.72,54.34,50.96,47.58,44.2,41.88,39.56,37.24,34.92,32.6,30.6,28.6,26.8,25.1,23.4,21.9
Bahamas,19.6,18.78,17.96,17.14,16.32,15.5,15.02,14.54,14.059999999999999,13.58,13.1,12.959999999999999,12.82,12.68,12.540000000000001,12.4,11.8,11.200000000000001,10.600000000000001,10.0,9.4,8.7,8.1,7.5,6.9,6.4,6.1
Bahrain,19.6,18.78,17.96,17.14,16.32,15.5,14.54,13.58,12.62,11.66,10.7,10.379999999999999,10.059999999999999,9.74,9.42,9.1,8.74,8.379999999999999,8.02,7.66,7.3,7.0,6.8,6.7,6.6,6.5,6.4
Bangladesh,99.7,95.94,92.18,88.42,84.66000000000001,80.9,77.52000000000001,74.14,70.76,67.38,64.0,61.28,58.56,55.84,53.12,50.4,48.1,45.8,43.5,41.2,38.9,36.9,35.0,33.2,31.5,29.8,28.3
Barbados,16.0,15.48,14.96,14.440000000000001,13.92,13.4,13.48,13.56,13.64,13.72,13.8,13.92,14.040000000000001,14.16,14.280000000000001,14.4,14.200000000000001,14.0,13.8,13.6,13.4,13.1,12.9,12.7,12.4,12.1,11.9
Belarus,12.2,12.24,12.28,12.32,12.36,12.4,11.9,11.4,10.9,10.4,9.9,9.22,8.540000000000001,7.86,7.18,6.5,6.04,5.58,5.12,4.66,4.2,3.9,3.6,3.4,3.2,3.1,2.9
Belgium,8.3,7.9,7.5,7.1,6.7,6.3,6.02,5.74,5.46,5.18,4.9,4.74,4.58,4.42,4.26,4.1,4.02,3.94,3.86,3.7800000000000002,3.7,3.6,3.5,3.4,3.3,3.2,3.1
Belize,31.3,29.900000000000002,28.5,27.1,25.700000000000003,24.3,23.46,22.62,21.78,20.94,20.1,19.66,19.22,18.78,18.34,17.9,17.58,17.259999999999998,16.94,16.62,16.3,15.8,15.3,14.7,14.1,13.4,12.8
Benin,107.1,104.83999999999999,102.58,100.32,98.06,95.8,94.36,92.92,91.47999999999999,90.03999999999999,88.6,86.46,84.32,82.18,80.04,77.9,76.74000000000001,75.58,74.42,73.25999999999999,72.1,71.3,70.4,69.3,68.0,66.6,65.1
Bhutan,89.6,86.22,82.84,79.46000000000001,76.08,72.7,69.72,66.74,63.76,60.78,57.8,55.22,52.64,50.06,47.48,44.9,42.76,40.62,38.480000000000004,36.34,34.2,32.5,31.1,29.8,28.6,27.6,26.5
Bolivia (Plurinational State of),85.3,82.62,79.94,77.26,74.58,71.9,69.2,66.5,63.8,61.1,58.4,55.92,53.44,50.96,48.480000000000004,46.0,44.02,42.04,40.06,38.08,36.1,34.7,33.4,32.2,31.1,30.0,29.0
Bosnia and Herzegovina,16.1,15.200000000000001,14.3,13.4,12.5,11.6,11.02,10.44,9.86,9.28,8.7,8.52,8.34,8.16,7.9799999999999995,7.8,7.4799999999999995,7.16,6.84,6.52,6.2,5.9,5.7,5.5,5.4,5.2,5.1
Botswana,39.5,40.8,42.1,43.4,44.7,46.0,46.8,47.6,48.4,49.2,50.0,48.5,47.0,45.5,44.0,42.5,41.7,40.9,40.1,39.3,38.5,38.9,36.8,34.8,34.4,33.1,32.3
Brazil,52.6,50.28,47.96,45.64,43.32,41.0,38.88,36.76,34.64,32.519999999999996,30.4,28.74,27.08,25.42,23.76,22.1,21.02,19.94,18.86,17.78,16.7,16.0,15.4,14.9,14.5,14.0,14.6
Brunei Darussalam,10.3,10.26,10.22,10.18,10.14,10.1,10.0,9.9,9.799999999999999,9.7,9.6,9.58,9.56,9.54,9.52,9.5,9.38,9.26,9.14,9.02,8.9,8.9,8.9,8.9,9.0,9.0,9.0
Bulgaria,14.6,14.799999999999999,15.0,15.2,15.4,15.6,15.36,15.12,14.88,14.64,14.4,13.72,13.040000000000001,12.36,11.68,11.0,10.6,10.2,9.8,9.4,9.0,8.7,8.3,7.8,7.4,7.0,6.7
Burkina Faso,99.1,98.83999999999999,98.58,98.32,98.06,97.8,96.53999999999999,95.28,94.02,92.76,91.5,89.44,87.38,85.32000000000001,83.26,81.2,78.16,75.12,72.08,69.04,66.0,63.2,60.6,58.2,56.1,54.3,52.6
Burundi,105.4,105.72,106.04,106.36,106.68,107.0,104.78,102.56,100.34,98.12,95.9,92.46000000000001,89.02000000000001,85.58000000000001,82.14,78.7,74.8,70.9,67.0,63.1,59.2,56.1,53.1,50.5,48.0,45.9,44.1
Cabo Verde,48.2,47.480000000000004,46.760000000000005,46.04,45.32,44.6,41.52,38.44,35.36,32.28,29.2,27.8,26.4,25.0,23.6,22.2,22.0,21.8,21.599999999999998,21.4,21.2,20.6,19.8,18.9,17.9,16.9,15.9
Cambodia,84.7,85.12,85.54,85.96,86.38,86.8,85.36,83.92,82.47999999999999,81.03999999999999,79.6,74.33999999999999,69.08,63.81999999999999,58.559999999999995,53.3,50.199999999999996,47.099999999999994,44.0,40.9,37.8,35.1,32.6,30.6,28.9,27.5,26.3
Cameroon,86.0,87.26,88.52,89.78,91.03999999999999,92.3,92.16,92.02,91.88,91.74,91.6,89.52,87.44,85.36,83.28,81.2,78.78,76.36,73.94,71.52,69.1,66.8,64.4,62.1,60.3,58.2,56.6
Canada,6.8,6.6,6.3999999999999995,6.199999999999999,6.0,5.8,5.7,5.6,5.5,5.3999999999999995,5.3,5.28,5.26,5.24,5.22,5.2,5.140000000000001,5.08,5.0200000000000005,4.96,4.9,4.8,4.8,4.8,4.7,4.7,4.6
Central African Republic,114.9,114.9,114.9,114.9,114.9,114.9,114.52000000000001,114.14,113.76,113.38,113.0,112.16,111.32,110.48,109.64,108.8,107.42,106.04,104.66,103.28,101.9,99.9,98.0,96.3,93.9,91.6,89.2
Chad,112.1,111.03999999999999,109.97999999999999,108.92,107.86,106.8,105.62,104.44,103.26,102.08,100.9,99.44,97.98,96.52,95.06,93.6,91.92,90.24,88.56,86.88,85.2,83.4,81.7,80.1,78.4,76.7,75.0
Chile,16.1,15.100000000000001,14.100000000000001,13.1,12.1,11.1,10.719999999999999,10.34,9.959999999999999,9.58,9.2,8.92,8.639999999999999,8.36,8.08,7.8,7.74,7.68,7.62,7.56,7.5,7.2,7.2,7.1,6.9,6.7,6.6
China,42.1,41.22,40.34,39.46,38.580000000000005,37.7,36.18,34.660000000000004,33.14,31.62,30.1,28.14,26.18,24.22,22.26,20.3,18.96,17.62,16.28,14.94,13.6,12.6,11.6,10.8,10.0,9.2,8.6
