Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,175.1,169.64,164.18,158.72,153.26000000000002,147.8,144.0,140.20000000000002,136.4,132.60000000000002,128.8,125.06,121.32000000000001,117.58,113.84,110.1,106.08,102.06,98.03999999999999,94.02,90.0,86.2,82.6,79.2,76.0,73.1,70.4
Albania,40.1,38.56,37.02,35.480000000000004,33.94,32.4,30.82,29.24,27.66,26.08,24.5,23.04,21.58,20.119999999999997,18.66,17.2,16.16,15.12,14.08,13.04,12.0,11.3,10.7,10.1,9.7,9.4,9.1
Algeria,49.6,48.42,47.24,46.06,44.88,43.7,42.900000000000006,42.1,41.300000000000004,40.5,39.7,38.46,37.22,35.980000000000004,34.74,33.5,32.28,31.06,29.84,28.619999999999997,27.4,26.7,26.1,25.7,25.3,24.9,24.5
Andorra,8.5,8.06,7.62,7.18,6.74,6.3,6.04,5.78,5.52,5.26,5.0,4.86,4.72,4.58,4.4399999999999995,4.3,4.22,4.14,4.06,3.98,3.9,3.9,3.8,3.7,3.6,3.5,3.4
Angola,223.5,223.34,223.18,223.01999999999998,222.85999999999999,222.7,219.42,216.14,212.86,209.58,206.3,198.60000000000002,190.9,183.20000000000002,175.5,167.8,158.5,149.20000000000002,139.9,130.6,121.3,113.2,105.8,99.2,93.6,88.9,84.6
Antigua and Barbuda,26.3,24.94,23.580000000000002,22.22,20.86,19.5,18.58,17.66,16.740000000000002,15.82,14.9,14.32,13.74,13.16,12.58,12.0,11.56,11.120000000000001,10.68,10.24,9.8,9.5,9.1,8.7,8.3,8.0,7.7
Argentina,28.8,27.92,27.04,26.16,25.279999999999998,24.4,23.48,22.56,21.64,20.72,19.8,19.14,18.48,17.82,17.16,16.5,16.1,15.7,15.3,14.9,14.5,13.9,13.3,12.7,12.0,11.4,10.9
Armenia,49.6,47.4,45.2,43.0,40.8,38.6,36.88,35.160000000000004,33.44,31.72,30.0,28.66,27.32,25.98,24.64,23.3,22.240000000000002,21.18,20.12,19.060000000000002,18.0,17.1,16.3,15.5,14.7,14.0,13.3
Australia,9.2,8.76,8.32,7.88,7.4399999999999995,7.0,6.84,6.68,6.5200000000000005,6.36,6.2,6.1000000000000005,6.0,5.9,5.8,5.7,5.5200000000000005,5.34,5.16,4.9799999999999995,4.8,4.6,4.3,4.2,4.0,3.8,3.7
Austria,9.5,8.96,8.42,7.88,7.34,6.8,6.54,6.28,6.02,5.76,5.5,5.38,5.26,5.140000000000001,5.0200000000000005,4.9,4.78,4.66,4.54,4.42,4.3,4.2,4.1,3.9,3.8,3.7,3.6
