,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,26.6046184738956,26.7746184738956,27.132975206611547,27.30297520661155,27.2846184738956,27.655421686747,27.655421686747,27.655421686747,27.655421686747,27.655421686747,27.555421686747,27.555421686747,27.555421686747,,27.8688524590164,27.0161290322581
Albania,5.2,5.2,5.2,5.2,5.180645161290325,5.180645161290325,5.647142857142855,5.8371428571428545,6.027142857142855,6.574285714285715,7.121428571428569,8.05142857142857,8.98142857142857,9.91142857142857,15.4842857142857,16.4142857142857,15.70714285714285,15.70714285714285,17.878571428571448,20.0,20.70714285714285,22.878571428571448,27.878571428571448,27.857142857142897,29.5081967213115,29.5081967213115
Algeria,3.2,3.2,3.1789473684210554,3.3122807017543883,3.445614035087722,3.7105263157894752,3.840526315789475,5.34483290488432,5.47483290488432,5.60483290488432,5.734832904884319,5.904832904884319,6.8460411311054,7.0160411311054,7.1860411311054,7.3560411311054,7.58457583547558,28.7008658008658,28.7008658008658,28.6508658008658,28.6508658008658,28.7008658008658,23.528787878787902,25.757575757575804,25.757575757575804,25.757575757575804
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,7.1,7.1,7.121428571428569,7.121428571428569,7.121428571428569,7.121428571428569,12.842857142857149,14.992857142857149,17.14285714285715,19.292857142857148,28.5857142857143,29.2957142857143,30.005714285714298,28.93,34.99714285714285,35.707142857142856,50.0,50.0,50.0,50.0,39.292857142857144,32.12142857142855,32.12142857142855,32.1428571428571,46.428571428571395,46.428571428571395
Angola,9.5,9.5,9.522727272727275,13.47727272727275,14.47727272727275,15.47727272727275,15.42727272727275,15.37727272727275,15.32727272727275,15.05,15.0,17.36,19.72,33.21636363636365,36.258181818181804,38.6181818181818,38.1909090909091,34.09545454545455,34.09545454545455,36.8090909090909,36.8090909090909,36.8090909090909,30.477272727272748,30.4545454545455,30.0,30.0
Antigua and Barbuda,11.1,11.1,8.18157894736842,7.714912280701753,9.233333333333334,6.78157894736842,7.34157894736842,7.901578947368421,8.46157894736842,11.65315789473685,12.213157894736849,12.76315789473685,13.31315789473685,13.86315789473685,14.413157894736848,14.963157894736849,14.963157894736849,14.963157894736849,14.963157894736849,16.15555555555555,18.40555555555555,18.40555555555555,15.55555555555555,11.1111111111111,11.1111111111111,11.1111111111111
Arab World,,,3.74716124148373,3.4574468085106402,3.61677568295498,3.77068103116583,4.621264767199441,6.130931763075861,6.04810996563574,6.69304319155952,7.03676649622597,9.34959349593497,9.753765240258199,9.80157781496534,9.902309058614561,11.919671777153999,11.328502415458901,14.87204249155,17.369308600337302,17.7934018388318,18.779840848806398,19.2756139915654,18.8840212128199,19.060773480663,17.5665399239544,17.819013726487103
Argentina,22.8,22.8,25.21322957198445,24.96322957198445,21.8,23.879571984435803,24.52,29.23964980544745,30.84964980544745,33.9527450980392,36.7933852140078,36.24972762645915,38.78,38.82,38.12070038910505,38.160700389105045,37.527042801556405,37.527042801556405,36.83793774319065,36.83793774319065,37.1,36.4488326848249,38.5161478599222,38.9105058365759,40.1574803149606,40.8560311284047
Armenia,6.3,6.3,6.307894736842105,5.774561403508772,3.610050890585243,3.07671755725191,3.29671755725191,3.5167175572519103,4.50007633587786,5.10175572519084,5.32175572519084,5.71175572519084,8.010152671755725,8.01847328244275,8.790152671755724,9.180152671755724,8.398473282442751,10.693511450381699,10.693511450381699,10.693511450381699,10.693511450381699,10.693511450381699,18.09761904761905,18.095238095238102,23.4848484848485,23.4848484848485
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,20.5,20.5,18.02027027027025,18.77027027027025,22.974489795918352,23.9864864864865,25.66,25.82666666666665,26.156666666666652,26.15333333333335,26.48333333333335,26.48333333333335,27.48333333333335,27.48333333333335,27.81666666666665,26.48333333333335,26.93333333333335,26.93333333333335,28.55,28.05,28.58333333333335,30.03333333333335,30.68333333333335,28.6666666666667,30.463576158940395,30.463576158940395
Austria,24.7,24.7,25.46475409836065,25.531420765027317,24.96666666666667,25.937978142076503,26.647978142076504,27.94,31.6198907103825,32.3298907103825,33.0398907103825,31.83021857923495,31.7134426229508,28.59120218579235,28.4744262295082,28.0844262295082,28.2844262295082,28.2844262295082,32.76666666666665,31.820218579234947,30.45054644808745,30.45054644808745,34.01311475409835,34.4262295081967,39.344262295082004,39.344262295082004
Azerbaijan,12.0,12.0,12.0,12.0625,12.125,12.375,11.49193548387095,11.55443548387095,11.61693548387095,11.67943548387095,13.0217391304348,12.445161290322599,12.791056910569099,13.0910569105691,13.391056910569098,16.0,16.0,16.0,15.58688524590165,15.58688524590165,16.917741935483846,16.8,16.8,16.8,16.8067226890756,17.3553719008264
Bahamas,19.6,19.6,19.6,19.6,19.6,19.6,21.040000000000003,22.48,23.92,25.36,26.8,25.02,23.24,21.46,19.68,17.9,17.9,16.7,16.7,16.7,16.7,16.7,21.8,,,
"Bahamas, The",,,15.0,15.0,15.0,15.0,15.0,,20.0,20.0,20.0,20.0,12.1951219512195,12.1951219512195,12.1951219512195,12.1951219512195,12.1951219512195,13.1578947368421,13.1578947368421,13.1578947368421,13.1578947368421,13.1578947368421,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128
Bahrain,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,3.75,3.75,3.75,5.75,6.5,7.25,8.0,8.75,14.4,14.4,14.4,12.5,11.25,11.25,11.25,15.0,15.0,15.0
