Country,2011,2012,2013,2014,2015,2016
Afghanistan,2.6,3.0,3.4,3.8,3.8,3.8
Albania,22.7,26.333333333333332,29.96666666666667,33.6,33.6,33.6
Algeria,20.4,26.966666666666665,33.53333333333333,40.1,40.1,40.1
Angola,38.9,33.36666666666667,27.833333333333336,22.3,22.3,22.3
Argentina,31.8,38.166666666666664,44.53333333333333,50.9,50.9,50.9
Armenia,18.1,16.96666666666667,15.833333333333334,14.7,14.7,14.7
Australia,98.6,98.73333333333333,98.86666666666666,99.0,99.0,99.0
Austria,96.6,96.86666666666666,97.13333333333334,97.4,97.4,97.4
Azerbaijan,14.3,18.166666666666668,22.03333333333333,25.9,25.9,25.9
Bahrain,48.8,54.766666666666666,60.733333333333334,66.7,66.7,66.7
Bangladesh,26.0,26.166666666666668,26.333333333333332,26.5,26.5,26.5
Belarus,58.1,62.733333333333334,67.36666666666667,72.0,72.0,72.0
Belgium,97.2,97.96666666666667,98.73333333333333,99.5,99.5,99.5
Belize,52.3,52.3,52.3,52.3,52.3,52.3
Benin,9.8,11.066666666666666,12.333333333333334,13.6,13.6,13.6
Bhutan,27.7,27.7,27.7,27.7,27.7,27.7
Bolivia (Plurinational State of),25.1,29.400000000000002,33.7,38.0,38.0,38.0
Bosnia and Herzegovina,47.7,47.5,47.300000000000004,47.1,47.1,47.1
Botswana,28.4,35.166666666666664,41.93333333333334,48.7,48.7,48.7
Brazil,51.0,55.6,60.199999999999996,64.8,64.8,64.8
Bulgaria,55.5,58.06666666666667,60.63333333333333,63.2,63.2,63.2
Burkina Faso,10.8,11.4,12.0,12.6,12.6,12.6
Burundi,5.9,6.166666666666667,6.433333333333334,6.7,6.7,6.7
Cambodia,3.7,9.3,14.900000000000002,20.5,20.5,20.5
Cameroon,10.9,10.666666666666666,10.433333333333334,10.2,10.2,10.2
Canada,97.2,97.86666666666667,98.53333333333333,99.2,99.2,99.2
Central African Republic,3.4,3.4,3.4,3.4,3.4,3.4
Chad,6.8,7.133333333333333,7.466666666666667,7.8,7.8,7.8
Chile,41.0,47.06666666666667,53.13333333333333,59.2,59.2,59.2
China,60.0,65.43333333333334,70.86666666666666,76.3,76.3,76.3
Colombia,25.4,28.266666666666666,31.133333333333333,34.0,34.0,34.0
Comoros,17.9,17.9,17.9,17.9,17.9,17.9
Congo,7.6,10.066666666666666,12.533333333333333,15.0,15.0,15.0
Congo (Democratic Republic of the),2.8,6.633333333333333,10.466666666666667,14.3,14.3,14.3
Costa Rica,40.7,47.2,53.7,60.2,60.2,60.2
Croatia,87.2,87.36666666666667,87.53333333333333,87.7,87.7,87.7
Cyprus,83.1,85.5,87.89999999999999,90.3,90.3,90.3
Czechia,80.5,80.13333333333334,79.76666666666667,79.4,79.4,79.4
Côte d'Ivoire,29.2,29.2,29.2,29.2,29.2,29.2
Denmark,99.5,99.66666666666667,99.83333333333333,100.0,100.0,100.0
Djibouti,8.8,8.8,8.8,8.8,8.8,8.8
Dominican Republic,37.4,43.6,49.8,56.0,56.0,56.0
Ecuador,33.2,35.733333333333334,38.266666666666666,40.8,40.8,40.8
Egypt,6.5,7.433333333333334,8.366666666666667,9.3,9.3,9.3
El Salvador,10.1,17.366666666666667,24.633333333333333,31.9,31.9,31.9
Estonia,97.3,97.36666666666666,97.43333333333334,97.5,97.5,97.5
Eswatini (Kingdom of),27.4,27.4,27.4,27.4,27.4,27.4
Ethiopia,21.0,21.0,21.0,21.0,21.0,21.0
Finland,99.8,99.86666666666666,99.93333333333334,100.0,100.0,100.0
France,96.6,96.23333333333333,95.86666666666666,95.5,95.5,95.5
